Night, with activity
time,temp1,humid1,temp2,humid2,Temp3,Humid3,Avg temp,Avg humid
161,29.3,62,29.3,112,30.27,68,29.6233333333333,80.6666666666667
162,29.79,63,29.3,65,30.27,74,29.7866666666667,67.3333333333333
163,29.3,63,29.79,6,30.27,76,29.7866666666667,48.3333333333333
164,29.79,56,29.3,0,30.27,78,29.7866666666667,44.6666666666667
165,29.3,61,29.3,0,30.76,79,29.7866666666667,46.6666666666667
166,29.79,63,29.79,0,30.76,79,30.11,47.3333333333333
167,29.79,64,29.3,0,31.25,77,30.1133333333333,47
168,29.79,65,29.79,49,31.25,74,30.28,62.6666666666667
169,29.79,64,29.79,65,31.25,74,30.28,67.6666666666667
170,29.79,65,29.79,63,30.27,64,29.95,64
171,29.79,61,29.3,50,29.79,69,29.6266666666667,60
172,29.79,64,29.79,80,30.27,74,29.95,72.6666666666667
173,29.79,68,30.27,237,30.76,74,30.27,126.333333333333
174,29.79,64,30.27,211,30.76,73,30.27,116
175,29.79,58,30.27,67,31.25,74,30.44,66.3333333333333
176,29.79,52,30.27,46,31.74,75,30.60,57.6666666666667
177,29.79,51,29.79,0,31.74,76,30.44,42.3333333333333
178,29.79,54,29.79,17,30.76,69,30.11,46.6666666666667
179,29.79,61,30.27,0,30.76,76,30.27,45.6666666666667
180,29.79,65,30.27,0,31.25,76,30.44,47
181,29.79,66,29.79,0,31.25,75,30.28,47
182,29.79,66,30.27,53,31.74,75,30.60,64.6666666666667
183,29.79,73,30.27,65,30.76,68,30.27,68.6666666666667
184,29.79,66,30.27,93,30.76,72,30.27,77
185,29.79,73,29.79,57,30.76,72,30.11,67.3333333333333
186,29.79,61,29.79,55,31.25,71,30.28,62.3333333333333
187,29.79,53,29.79,39,31.25,72,30.28,54.6666666666667
188,29.79,52,29.79,0,31.25,70,30.28,40.6666666666667
189,29.79,53,30.27,0,30.27,67,30.11,40
190,29.79,67,30.27,45,30.27,73,30.11,61.6666666666667
191,29.79,65,30.27,34,30.76,74,30.27,57.6666666666667
192,29.79,72,30.27,12,30.76,74,30.27,52.6666666666667
193,29.79,69,30.27,0,30.76,71,30.27,46.6666666666667
194,29.79,72,29.79,31,29.79,60,29.79,54.3333333333333
195,29.79,79,30.27,29,29.79,72,29.95,60
196,29.79,60,29.79,15,30.27,73,29.95,49.3333333333333
197,29.79,56,29.79,50,30.76,74,30.11,60
198,29.79,55,30.27,56,29.79,69,29.95,60
199,29.79,51,29.79,60,30.27,72,29.95,61
200,29.79,52,29.79,144,30.27,70,29.95,88.6666666666667
201,29.79,49,30.27,138,30.76,69,30.27,85.3333333333333
202,29.79,55,30.27,172,30.76,67,30.27,98
203,29.79,65,29.79,117,30.27,62,29.95,81.3333333333333
204,29.79,68,30.27,134,30.27,0,30.11,67.3333333333333
205,29.79,79,29.79,145,30.27,0,29.95,74.6666666666667
206,29.79,80,29.79,77,30.76,0,30.11,52.3333333333333
207,29.79,69,29.79,51,30.76,0,30.11,40
208,29.79,65,29.79,0,29.79,39,29.79,34.6666666666667
209,29.79,69,29.79,0,30.27,170,29.95,79.6666666666667
210,29.79,56,29.79,0,30.76,211,30.11,89
211,29.79,51,29.79,0,30.76,238,30.11,96.3333333333333
212,29.79,52,29.79,0,30.27,253,29.95,101.666666666667
213,29.79,52,29.79,0,30.27,262,29.95,104.666666666667
214,29.79,53,30.27,47,30.27,182,30.11,94
215,29.79,61,30.76,78,30.27,142,30.27,93.6666666666667
216,29.79,70,30.27,61,30.27,112,30.11,81
217,29.79,79,30.27,60,30.27,91,30.11,76.6666666666667
218,29.79,77,30.76,64,30.27,74,30.27,71.6666666666667
219,29.79,78,30.27,77,30.27,47,30.11,67.3333333333333
220,29.79,66,30.76,55,30.27,40,30.27,53.6666666666667
221,29.79,64,30.76,115,30.27,20,30.27,66.3333333333333
222,29.79,60,30.27,283,30.27,17,30.11,120
223,29.79,52,30.27,72,30.27,0,30.11,41.3333333333333
224,30.27,65,30.76,72,29.79,0,30.27,45.6666666666667
225,31.25,90,30.76,51,29.79,0,30.60,47
226,31.25,75,30.27,63,30.27,0,30.60,46
227,30.27,77,30.27,49,29.79,15,30.11,47
228,30.27,72,30.27,62,30.27,191,30.27,108.333333333333
229,30.27,77,30.27,53,30.27,257,30.27,129
230,30.27,77,30.27,57,30.27,204,30.27,112.666666666667
231,30.27,73,30.27,49,30.27,141,30.27,87.6666666666667
232,29.79,63,30.27,47,30.27,169,30.11,93
233,29.79,41,30.27,71,30.76,61,30.27,57.6666666666667
234,30.27,64,30.76,73,30.27,0,30.43,45.6666666666667
235,31.25,65,30.27,52,29.79,41,30.44,52.6666666666667
236,31.25,58,29.79,38,30.76,0,30.60,32
